==========================================================================
SRAM Power Summary (mW)
==========================================================================
Instance                       Leakage      Internal     Switching    Total       
--------------------------------------------------------------------------
L1/m0_S1                       4.10294e-04  4.44911e-02  1.00742e-04  4.50021e-02 
L1/m2_S1                       3.08856e-04  4.16324e-02  1.77638e-04  4.21189e-02 
L2/m0/S1                       6.96593e-04  4.99932e-02  4.83840e-05  5.07382e-02 
L2/m0/S2                       6.96593e-04  4.99932e-02  5.50368e-05  5.07448e-02 
L2/m0/S3                       6.96593e-04  4.99932e-02  5.53824e-05  5.07452e-02 
L2/m0/S4                       6.96593e-04  4.99932e-02  5.31360e-05  5.07429e-02 
L2/m2/S1                       3.18078e-04  4.34160e-02  4.07808e-05  4.37749e-02 
L3/m0/S1                       6.96593e-04  4.66136e-02  4.00896e-05  4.73503e-02 
L3/m0/S2                       6.96593e-04  4.66136e-02  4.00896e-05  4.73503e-02 
L3/m0/S3                       6.96593e-04  4.66136e-02  4.00896e-05  4.73503e-02 
L3/m0/S4                       6.96593e-04  4.66136e-02  4.00896e-05  4.73503e-02 
L3/m2/S1                       3.18078e-04  4.34160e-02  4.07808e-05  4.37749e-02 
L4_m0/S1                       4.10294e-04  4.18250e-02  3.97440e-05  4.22750e-02 
L0/S1                          4.35910e-03  3.71184e-01  7.34054e-04  3.76277e-01 
L0/S2                          4.35910e-03  3.71184e-01  7.34054e-04  3.76278e-01 
L0/S3                          4.35910e-03  3.71184e-01  7.34054e-04  3.76277e-01 
L0/S4                          4.35910e-03  3.71184e-01  7.34054e-04  3.76277e-01 
--------------------------------------------------------------------------
TOTAL_SUM                      0.024775     2.085944     0.003708     2.114427    
