==========================================================================
SRAM Power Summary (mW)
==========================================================================
Instance                       Leakage      Internal     Switching    Total       
--------------------------------------------------------------------------
L1/m0_S1                       4.10294e-04  4.44911e-03  1.06445e-05  4.87005e-03 
L1/m2_S1                       3.08856e-04  4.16324e-03  1.77638e-05  4.48986e-03 
L2/m0/S1                       6.96593e-04  4.99932e-03  6.31584e-06  5.70223e-03 
L2/m0/S2                       6.96593e-04  4.99932e-03  9.03744e-06  5.70495e-03 
L2/m0/S3                       6.96593e-04  4.99932e-03  1.11024e-05  5.70701e-03 
L2/m0/S4                       6.96593e-04  4.99932e-03  5.97024e-06  5.70188e-03 
L2/m2/S1                       3.18078e-04  4.34079e-03  4.07808e-06  4.66295e-03 
L3/m0/S1                       6.96593e-04  4.66136e-03  4.00896e-06  5.36196e-03 
L3/m0/S2                       6.96593e-04  4.66136e-03  4.00896e-06  5.36196e-03 
L3/m0/S3                       6.96593e-04  4.66136e-03  4.00896e-06  5.36196e-03 
L3/m0/S4                       6.96593e-04  4.66136e-03  4.00896e-06  5.36196e-03 
L3/m2/S1                       3.18078e-04  4.34079e-03  4.07808e-06  4.66295e-03 
L4_m0/S1                       4.10294e-04  4.18250e-03  3.97440e-06  4.59677e-03 
L0/S1                          4.35910e-03  3.71184e-02  7.34054e-05  4.15509e-02 
L0/S2                          4.35910e-03  3.71184e-02  7.34054e-05  4.15509e-02 
L0/S3                          4.35910e-03  3.71184e-02  7.34054e-05  4.15509e-02 
L0/S4                          4.35910e-03  3.71184e-02  7.34054e-05  4.15509e-02 
--------------------------------------------------------------------------
TOTAL_SUM                      0.024775     0.208593     0.000383     0.233750    
